added Kenya\Keiyo at 0.75,35.58333 for isolate 4909
added Morocco\Kenitra at 34.26101,-6.5802 for isolate 4910
added Kenya\Kericho at -0.5,35.25 for isolate 5056
added Greece\Kerkira at 39.62,19.91972 for isolate 5063
added Iran\Khorasan at 38.01667,56.33333 for isolate 5065
added Ukraine\Kiev at 50.45466,30.5238 for isolate 5072
added Kenya\Kikuyu at -3.98333,39.41667 for isolate 5075
added Kenya\Kisii at -0.75,34.83333 for isolate 5077
added Kenya\Kisumu at -0.1,34.75 for isolate 5096
added Kenya\Kitale at 1.01667,35.0 for isolate 5106
added Japan\Kobe at 34.6913,135.183 for isolate 5107
added Japan\Kojiya at 26.73333,127.75 for isolate 5135
added Turkey\Konya-TR at 37.86556,32.4825 for isolate 5136
added South Korea\Korea at 37.0,127.5 for isolate 5137
added China\Kunfang at 27.41746,118.32182 for isolate 5250
added Japan\Kurashiki at 34.58333,133.76667 for isolate 5252
added Russia\Kurgan at 55.45,65.33333 for isolate 5253
added Japan\Kurume at 33.31667,130.51667 for isolate 5254
added South Korea\Kwangju at 35.15472,126.91556 for isolate 5281
added Japan\Kyoto at 35.02107,135.75385 for isolate 5283
added Bolivia\La Paz at -16.5,-68.15 for isolate 5311
added Nigeria\Lagos at 6.45306,3.39583 for isolate 5314
added Greece\Lamia at 38.9,22.43333 for isolate 5317
added Germany\Landstuhl at 49.41667,7.56667 for isolate 5318
added China\Lanzhou at 36.05639,103.79222 for isolate 5319
added Greece\Larisa at 39.63722,22.42028 for isolate 5321
added Netherlands\Leiden at 52.15833,4.49306 for isolate 5329
added Russia\Leningrad at 60.0,32.0 for isolate 5337
added France\Lepine at 48.26667,4.0 for isolate 5340
added China\Liao at 36.44389,115.96472 for isolate 5341
added China\Liaoning-Heping at 39.9321,122.3335 for isolate 5346
added China\Liaoning-Tiedong at 41.0925,122.99417 for isolate 5347
added China\Liaoning-Xigang at 38.92111,121.51333 for isolate 5350
added China\Liaoning-Zhenxing at 40.75277,122.49921 for isolate 5352
added China\Liaoning at 41.0,123.0 for isolate 5355
added Russia\Lipetsk at 52.5995,39.5745 for isolate 5367
added Portugal\Lisboa at 38.71667,-9.13333 for isolate 5368
added Portugal\Lisbon at 38.71667,-9.13333 for isolate 5425
added China\Lishui at 28.45806,119.91389 for isolate 5427
added United Kingdom\Liverpool at 53.41058,-2.97794 for isolate 5430
added United Kingdom\London at 51.50853,-0.12574 for isolate 5437
